Español	Shipibo-Konibo
Conoce qué es el coronavirus COVID-19	Minki onana jawerin coronavirus COVID-19 ixon
¿Qué es el Coronavirus?	¿Jawerin coronavirus isin?
Los coronavirus (CoV) son una amplia familia de virus que pueden causar diversas afecciones, desde el resfriado común, hasta infecciones respiratorias graves.	Nato isin riki (CoV) mesko isin jainbicho tsinkitabo, jawerato joniki nato isiman yatanai, jaara aki kai mesko akinbo yoran chexakin, reshoai peoxon, aki kati atipanke, join bisman akai kaman nokomakin.
Actualmente se investiga a un coronavirus surgido en la ciudad de Wuhan, China, al que se le ha denominado “Covid-19”.	Ramabira oini ikanai, jainoax nato isin pikoibata jema Wuhan, China, jainxon nato isin jane menikana “Covid-19”.
El 80% de los casos presentados en el mundo se presentan como una gripe normal y son fáciles de manejar, en tanto que el 20% puede hacer una complicación menor, de ellos un 10% necesita de hospitalización.	Nato 80% jonibo isinkana nato nete intiro, oinkanaronki iki, rekenpari peokootai reshoi, jatian shinankana iki, ishton benxoti, jatian 20% joniboki riki senentani benxoti ikai, nenoax 10% jonibo ronki iki, moa ikai hospitaranko boti kenai.
¿De dónde proviene?	¿Jaweranoaxki joai?
Los primeros casos fueron reportados en la ciudad de Wuhan (China) que concentra más 90% de casos de esta enfermedad en el mundo. Actualmente se conocen casos en algunas zonas de Tailandia, Japón, Corea del Sur, Italia, España, Irak, Francia, Estados Unidos, México, Brasil, Ecuador, Chile, Perú, entre otros países.	Rekenpari riki peokota Wuhan (China) meax, 90% jonibo jainoax isini peokoota. Ramabira moa ninkakaatai nato isinribi moa nokota Tailandiain, Japoain, Coreain, Italiain, Espayain, Irak ikain, Franciain, Estados Unidosain, Mexikoain, Brasilain, Ecuadorain, Chilenko, Peruain, itan wetsankobo.
¿Cómo se transmite?	¿Jawekeskaaxonki non biai?
Se transmite de persona a persona a través de gotitas que expulsa una persona enferma al hablar, toser o estornudar.	Nonra biai joniboibakea, yoyo akin joinainoa, isinai ixonbi noa yoyo aka, okokin iamax jatishan ikin.
Las gotitas pueden ser inhaladas por las personas que están cerca al enfermo y también quedarse en cualquier tipo de superficie (pasamanos, mesas, lapiceros, entre otros) y ser tocadas por las manos.	Nato isinronki non biti atipanke, nato isiman ikai pataxon itanribi non biti atipanke (tapitiainoa, misankonia, jan wishatiainoa, wetsa jawekibo non tii akainoa) non mekeeman.
El virus ingresa a nuestro organismo cuando nos tocamos los ojos, la nariz y la boca con las manos sin lavar.	Nato isinra jikiai, non yoranko, non bero tii akaitian, non rekin, non kexa, mechokixonmabi.
Dónde comunicarse para recibir atención	Jaweranoki noa kati atipana noa akinkanti kopi
Para mayor información, no dudes en llamarnos a la línea gratuita 113 desde cualquier operador de telefonía fija o móvil, escribirnos al WhatsApp 952842623 o al correo infosalud@minsa.gob.pe. Atendemos las 24 horas de los 365 días del año.	Mato akinti kopira matona ti jake kenakin línea 113 ikainko, mato celularnin, iamax nato WhatsApp ikainko wishaxon 952842623 iamax ribi nato correo infosalud@minsa.gob.pe. Nenoronki neten itan yameyabi jato akinkanai baritia kaman.
Recomendaciones	Mato ninkamaribiai
Lávate las manos frecuentemente, con agua y jabón, mínimo 20 segundos.	Mechokiti jeneyamawe jatibitian, jabonya onpaxan, rabe chonka sikonto basi.
Cúbrete la nariz y boca con el antebrazo o pañuelo desechable, al estornudar o toser.	Mascarallinin kepowe rekin vetan kexa, yamaketian min poyaman iwe, iamax wetsa chopan, jatishan iki itan okoi.
Evita tocarte las manos, los ojos, la nariz y la boca, con las manos sin lavar.	Min mekeman ti ayamawe, min bero, rekin, kexa, mechokitama ixon.
Evita el contacto directo con personas con problemas respiratorios.	Pataxyamawe isinai jonibo reshoai itan okoaibo.
Ante la presencia de síntomas leves (tos, dolor de garganta y fiebre), cúbrase al toser y lávese las manos. De ser posible permanezca en casa.	Mia neskati isinai ikax (okoai, teton ikai, yonatai), kepowe okoi, mechokiwe. Atipanax pikoyamawe.
Ante la presencia de síntomas severos (dificultad respiratoria y fiebre alta), comuníquese al 113.	Jawetianki moa min atipanyamai (join bisman akai, yona jeneyamai), kenawe nato 113 ikainko, mia akinkanti kopi.
Evitar saludo de mano o beso en la mejilla.	Jato jowe akin bexeyamawe itanribi jato meshakonyamawe.
No auto medicarse.	Minbi min kenakeska akin raobo xeayamawe
Bote a la basura los pañuelos desechables que haya utilizado.	Jan moa mia resoikitabo basorain potawe.
Mantenga limpias superficies de su casa, oficina o negocio (mesa, baños, pisos, juguetes, entre otros) pasando un trapo con desinfectante (por ejemplo, lejía).	Min xobo keras imayamawe, mia jainoax teetai (misa, jisonti, bakebaon yatanai jawekibo, wetsa jawekibo) chopa mechakan (iti atipanke lejianin).
