Español	Shipibo-Konibo
Rompiendo mitos relacionados con el coronavirus	Jonibaon jakomaakin shinana nato isin nokoketian jato jakon akin ninkamati.
1.      Exponerse al sol o a temperaturas superiores a los 25°C NO previene el coronavirus (COVID-19)	Bari xana amaxonki non coronavirus (COVID-19) isin biti atipana, 25° C nonra biamai.
2.      Es posible recuperarse de la enfermedad por coronavirus (COVID-19). Contraer el nuevo coronavirus NO significa que vaya a conservarlo de por vida	Noaki iti atipana nato isin coronavirus (COVID-19) biax benxoi. Noara benxoi kai jatibitianma riki nato isin.
3.      El hecho de poder contener la respiración durante diez segundos o más sin toser o sentir molestias NO significa que no tenga coronavirus (COVID-19) o cualquier otra enfermedad pulmonar.	Jaweratoboki okoyamai iamax reshoyamai shinankanti iki eara (COVID-19) jayaoma iki ixon iamaxribi wetsa isionma ixon.
4.      Beber alcohol NO lo protegerá del COVID-19 y podría ser peligroso	Isinya ixon bexnan xeatima iamax paentima natora onsa iki (COVID-19)
5.      El virus COVID-19 PUEDE transmitirse en zonas con climas cálidos y húmedos	Nato virus isin (COVID-19) ki non biti atipana xana jema jaxon iamax matsi jemanko jaxon
6.      El frío y la nieve NO PUEDEN matar al nuevo coronavirus (2019-nCoV)	Matsi betan nieveninra AYAMAI RETEKIN nato coronavirus isin (2019-nCOV)
7.    Bañarse con agua caliente NO PREVIENE la infección por el nuevo coronavirus	Onpax xanax nashixonra NON ISIN BIAMAI nato coronavirus isin.
8.      El nuevo coronavirus NO PUEDE transmitirse a través de picaduras de mosquitos	Nato bena isin coronavirus NON BIAMAI noa bikan pia.
9.      Los secadores de manos NO MATAN al nuevo coronavirus (2019-nCoV)	Meken secadoranin choshiaxonra non isin biamai itan RETEYAMAI nato coronavirus (2019-nCOV)
10.  Rociar el cuerpo con alcohol o cloro NO SIRVE para matar los virus que ya han ingresado al organismo	Alcohol itan lejianinra RETEYAMAI coronavirus moa non yora chicho weiketian.
11.  Las vacunas contra la neumonía NO SIRVEN para proteger contra el nuevo coronavirus (2019-nCoV)	Bonxan isin bakonaninra AYAMAI retekin coronavirus isin (2019-nCOV)
12.  No hay pruebas que indiquen que enjuagarse la nariz regularmente con una solución salina prevenga el nuevo coronavirus (2019-nCoV)	Yamarake pruebabo noa yoiyai tashin rechokitax non biamai coronavirus ixon yoikana (2019-nCOV)
13.  Comer ajo NO ayuda a prevenir el contagio del nuevo coronavirus (2019-nCoV)	Ajos min piabira mia coronavirus isiman yatanti atipanke.
14.  NO se deben utilizar lámparas ultravioletas para esterilizar partes del cuerpo, porque la radiación ultravioleta puede causar eritemas (irritación de la piel)	Lampara ultravioletaninbo ronki noa iti yamake raomeeti coronavirus isin potakasi, nonbixbironki noa ramiresti atipanke (yora payoti)
15.  ¿Qué tan efectivos son los escáneres térmicos para detectar a las personas con coronavirus?	¿Jawe ikamein iti atipanke escáneres termicosnin noa ika coronavirus onanox?
Los escáneres térmicos son efectivos detectando a las personas que tienen fiebre. Sin embargo, no es posible identificar a quienes estén infectados por coronavirus y no hayan presentado síntomas en el momento de ser evaluados. Esto se debe a que las personas infectadas presentan fiebre entre 2 y 10 días después de contraer la enfermedad.	Nato escáneres termicosra jakon iki yona akai jonibo ointi. Ikaxbira, merayamai coronavirusbaon akai ointi. Iti jake rabe nete iamax chonka nete winota pekaopari ointi.
16.  ¿El nuevo coronavirus afecta a los adultos mayores o los jóvenes también son susceptibles de contraerlo?	¿Nato coronavirusninki akai basima yosibo yatankin itan ranonboribi?
El nuevo coronavirus (2019-nCoV) puede afectar a personas de todas las edades.	Nato bena isimanra coronavirus (2019-nCOV) akin akanaitoninra jonin baritia oinyamai jatibibora atipanke yatankin.
17.  ¿Los antibióticos son efectivos para prevenir y tratar el nuevo coronavirus?	¿Antibioticoboki jakon iki non bitima kopi iamax moa isin bia pekao xeati iamax chachiti?
No, los antibióticos NO son eficaces contra el nuevo coronavirus (2019-nCoV)	Iamarake, benxoayamarai nato coronavirus isin non yatanketian (2019-nCOV)
18.  ¿Hay alguna medicina para prevenir o tratar el nuevo coronavirus?	¿Jawerato raonmein noa benxoti atipanke nato isin biax?
Por el momento, no se recomienda ningún medicamento específico para prevenir o tratar la infección por coronavirus (2019-nCoV)	Ramabira, non yoiti atipanyamake ja raora jakon iki ixon jato nato isin bechitenti coronavirus isin (2019-nCOV)
19.  Las redes 5G de telefonía móvil NO propagan el COVID-19	Nato redes 5G telefonía móvilninra ayamai menikin COVID-19.
